Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
876,10-12-2019,ACH,3047,131101,HA,ASC,SC,0.666666667,0.873733005,0.103216156,0.698979212,79067,69000,M,OTHERS,SEP,O,0.755102041,-1.467249594,0.25848582,0.853053059,0
877,12-12-2019,ADM,3047,134003,HA,DEALER,SC,0.470588235,0.000534874,0.132292446,0.271531319,69365,59000,F,OTHERS,SEP,O,0.346938776,-1.05963622,-0.393572976,0.144422986,0
878,12/14/2019,ADM,3040,261202,UP,ASC,MC,0.431372549,0.754660533,0.129768138,0.206818093,67449,56748,M,OTHERS,SEP,O,0.653061224,,-0.343414608,0.933579204,0
879,12-12-2019,ACH,3047,132103,HA,DEALER,SC,0.352941176,0.238679819,0.140987285,0.232362787,72106,60200,F,UG,SEP,O,0.326530612,,0.25848582,0.427875015,0
880,12/18/2019,ADM,3034,208027,UP,ASC,SC,0.352941176,-1.352922228,0.149121167,0.411175651,80000,66052,F,UG,SEP,O,0.183673469,-4.931963268,-0.544048083,-1.18908997,0
881,11-12-2019,ADM,3040,271801,UP,DEALER,MC,0.352941176,-1.745861387,0.079094989,-0.02308416,62700,51700,M,OTHERS,AGR,O,0.163265306,,-0.443731345,-1.234184611,0
882,12/18/2019,ADM,3047,127029,HA,ASC,MC,0.431372549,0.603835401,0.118642483,0.104639314,67300,54848,M,UG,SAL,O,0.408163265,-1.97676631,0.659752771,0.756421686,0
883,12/30/2019,ACH,3038,221305,UP,ASC,MC,0.549019608,-1.448180206,0.071896036,0.31751177,70000,59600,M,OTHERS,SEP,O,0.367346939,,-0.544048083,-1.25028984,0
884,12/24/2019,ACH,3034,212601,UP,DEALER,SC,0.666666667,-1.075086459,0.064229619,1.041278122,79800,65247,M,SSC,SEP,O,0.244897959,-0.44821616,-0.443731345,-1.098900688,0
885,06-12-2019,ADM,3047,125121,HA,ASC,MC,0.68627451,1.270641246,0.064884069,-1.19814012,67350,57547,F,HSC,SEP,O,0.020408163,,-0.594206452,0.698442862,0
886,04-12-2019,ADM,3091,175008,HP,DEALER,SC,0.352941176,-0.991735728,0.139491399,0.312402831,74626,63000,M,HSC,SEP,O,0.367346939,0.825575632,-0.443731345,-0.963616765,0
